Date,Time,Session ID,Player ID,Sensor ID,Impact ID,Sample Num,Linear Acc x g,Linear Acc y g,Linear Acc z g,Linear Acc Mag g,Angular Vel x rad/s,Angular Vel y rad/s,Angular Vel z rad/s,Angular Vel Mag rad/s,Angular Acc x rad/s2,Angular Acc y rad/s2,Angular Acc z rad/s2,Angular Acc Mag rad/s2
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,60,-3.23,-2.05,0.49,3.86,1.0885,1.5931,-0.2455,1.945,-21.95,15.9,-70.36,75.4
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,61,-3.23,-2.64,0.88,4.27,1.069,1.609,-0.3176,1.9577,-15.6,16,-72.6,75.96
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,62,-2.74,-2.64,0.88,3.91,1.0567,1.6249,-0.3909,1.9773,-12.25,14.43,-76.85,79.15
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,63,-2.74,-2.84,0.68,4,1.0433,1.6395,-0.4703,1.9995,-13.99,19.69,-76.84,80.54
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,64,-2.54,-3.43,0.39,4.29,1.0299,1.6639,-0.5448,2.0313,-11.01,22.8,-77.49,81.52
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,65,-1.76,-3.92,1.56,4.57,1.0225,1.6847,-0.6267,2.068,-3.2,24.45,-84.41,87.94
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,66,-2.94,-3.52,0.29,4.6,1.0225,1.7128,-0.7122,2.1182,0.71,26.81,-85.29,89.41
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,67,-2.45,-3.52,1.27,4.48,1.0225,1.7373,-0.7965,2.1675,-0.69,24.84,-83.69,87.31
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,68,-1.96,-1.27,0.58,2.41,1.0213,1.7629,-0.8796,2.2192,-1.2,24.78,-82.3,85.96
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,69,-2.15,-2.84,0.78,3.65,1.0213,1.7873,-0.9615,2.2721,2.84,26.34,-82.74,86.89
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,70,-1.66,-3.52,0.88,4,1.0274,1.8154,-1.0445,2.3329,8.86,26.9,-80.59,85.42
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,71,-2.15,-2.64,0.68,3.48,1.0372,1.8411,-1.1227,2.3929,7.65,26.99,-79.1,83.93
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,72,-2.45,-3.13,0.58,4.02,1.0421,1.8704,-1.2021,2.4555,4.39,31.65,-75.65,82.13
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,73,-2.15,-2.84,1.96,4.07,1.047,1.9034,-1.273,2.5179,5.49,32.45,-68.15,75.68
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,74,-2.74,-2.25,0.29,3.56,1.0531,1.9339,-1.339,2.5772,6.2,27.79,-63.54,69.63
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,75,-3.23,-2.64,1.17,4.34,1.0592,1.9596,-1.4001,2.631,6.1,26.4,-59.05,64.98
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,76,-2.64,-3.33,0,4.25,1.0653,1.9865,-1.4563,2.6836,6.5,23.54,-51.3,56.82
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,77,-2.45,-3.92,0.58,4.65,1.0714,2.0073,-1.5027,2.7268,3.64,23.3,-43.94,49.87
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,78,-2.25,-3.43,1.27,4.29,1.0726,2.0329,-1.5442,2.7691,1.25,22.65,-36.95,43.36
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,79,-2.74,-3.33,0.68,4.37,1.0739,2.0512,-1.576,2.8008,-0.48,16.6,-26.89,31.61
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,80,-1.76,-2.54,0.98,3.25,1.0702,2.0659,-1.5992,2.8233,-8.05,9.89,-21.39,24.9
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,81,-2.15,-2.94,1.37,3.89,1.058,2.072,-1.62,2.835,-14.15,6.43,-21.36,26.42
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,82,-2.54,-2.94,1.47,4.15,1.0421,2.0806,-1.6395,2.8465,-18.53,10.41,-11.71,24.27
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,83,-2.74,-2.45,1.27,3.89,1.0189,2.0916,-1.642,2.8476,-31.55,8.24,3.67,32.81
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,84,-3.23,-1.76,1.37,3.93,0.9798,2.0977,-1.6346,2.8341,-41.17,9.05,8.34,42.97
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,85,-2.64,-2.45,1.56,3.93,0.9382,2.1099,-1.6249,2.8235,-44.9,10.94,15.53,48.76
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,86,-2.54,-2.74,1.17,3.92,0.8906,2.1184,-1.6029,2.8018,-46.88,8.36,25.86,54.19
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,87,-2.84,-2.05,1.66,3.88,0.8442,2.1258,-1.5748,2.777,-49.59,2.94,29.65,57.86
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,88,-3.13,-2.94,0.49,4.32,0.7904,2.1245,-1.5442,2.7428,-56.8,-2.07,32,65.23
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,89,-2.05,-1.47,0.68,2.62,0.7318,2.1233,-1.5112,2.707,-58.65,0.22,32.59,67.09
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,90,-2.45,-2.45,1.96,3.98,0.6731,2.1233,-1.4782,2.6734,-59.88,-3.89,36.45,70.21
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,91,-2.84,-2.84,0.19,4.02,0.6096,2.1135,-1.4379,2.628,-71.15,-16.05,42.09,84.21
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,92,-3.52,-1.76,0.49,3.97,0.5314,2.0928,-1.3952,2.5707,-80.63,-20.85,42.94,93.7
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,93,-2.45,-1.37,0.88,2.94,0.452,2.072,-1.3524,2.5153,-76.05,-25.14,43.11,90.97
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,94,-2.15,-1.27,0.78,2.62,0.3799,2.0415,-1.3096,2.455,-70.74,-34.61,40.65,88.62
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,95,-2.35,-1.66,0,2.88,0.3103,2.0048,-1.2705,2.3937,-66.8,-35.96,40.48,85.99
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,96,-2.25,-2.45,0.09,3.33,0.2467,1.9706,-1.2278,2.3349,-60.49,-34.19,43.64,82.05
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,97,-2.25,-2.54,0.68,3.47,0.1881,1.9364,-1.1838,2.2774,-58.73,-33.2,43.5,80.27
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,98,-2.45,-1.86,0.29,3.09,0.1282,1.9046,-1.1398,2.2234,-60.91,-29.94,47.44,82.81
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,99,-1.96,-2.54,1.27,3.45,0.0671,1.8753,-1.0885,2.1694,-59.25,-31.74,53.19,85.72
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,100,-2.15,-2.25,0.49,3.15,0.0097,1.8411,-1.0348,2.112,-58.03,-33.3,53.05,85.39
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,101,-2.74,-2.35,1.56,3.93,-0.0488,1.8093,-0.9822,2.0593,-56.04,-31.79,54.51,84.4
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,102,-1.96,-1.86,1.07,2.91,-0.1026,1.7763,-0.926,2.0059,-54.99,-35.39,54.95,85.42
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,103,-2.05,-1.76,-0.39,2.73,-0.1588,1.7385,-0.8723,1.9515,-56.2,-37.8,53.7,86.43
